Date,CLOSE
2021-03-02,15.71
2021-03-03,15.354
2021-03-04,15.757
2021-03-05,16.182
2021-03-08,15.987
2021-03-09,16.726
2021-03-10,17.389
2021-03-11,17.973
2021-03-12,18.249
2021-03-15,17.745
2021-03-16,17.451
2021-03-17,17.841
2021-03-18,17.545
2021-03-19,17.142
2021-03-22,17.864
2021-03-23,18.209
2021-03-24,18.375
2021-03-25,18.211
2021-03-26,18.498
2021-03-29,18.165
2021-03-30,18.63
2021-03-31,18.815
2021-04-01,18.956
2021-04-06,19.594
2021-04-07,19.112
2021-04-08,18.826
2021-04-09,18.73
2021-04-12,19.413
2021-04-13,19.287
2021-04-14,19.442
2021-04-15,20.026
2021-04-16,20.359
2021-04-19,20.684
2021-04-20,20.86
2021-04-21,20.886
2021-04-22,21.065
2021-04-23,19.776
2021-04-26,19.704
2021-04-27,21.145
2021-04-28,21.28
2021-04-29,22.26
2021-04-30,23.002
2021-05-03,23.634
2021-05-04,22.925
2021-05-05,23.844
2021-05-06,24.365
2021-05-07,23.785
2021-05-10,24.942
2021-05-11,25.525
2021-05-12,26.254
2021-05-13,26.034
2021-05-14,26.523
2021-05-17,26.117
2021-05-18,24.51
2021-05-19,22.399
2021-05-20,24.153
2021-05-21,24.243
2021-05-24,24.314
2021-05-25,25.858
2021-05-26,25.999
2021-05-27,24.816
2021-05-28,24.66
2021-05-31,24.879
2021-06-01,25.711
2021-06-02,25.406
2021-06-03,25.399
2021-06-04,25.482
2021-06-07,26.199
2021-06-08,27.49
2021-06-09,28.06
2021-06-10,28.464
2021-06-11,27.567
2021-06-14,28.649
2021-06-15,27.958
2021-06-16,27.797
2021-06-17,28.084
2021-06-18,29.103
2021-06-21,29.47
2021-06-22,30.532
2021-06-23,31.26
2021-06-24,31.92
2021-06-25,32.213
2021-06-28,32.056
2021-06-29,33.3
2021-06-30,34.421
2021-07-01,35.998
2021-07-02,35.68
2021-07-05,37.788
2021-07-06,34.079
2021-07-07,32.069
2021-07-08,32.896
2021-07-09,36.448
2021-07-12,34.308
2021-07-13,35.149
2021-07-14,34.6
2021-07-15,33.814
2021-07-16,34.478
2021-07-19,35.594
2021-07-20,35.002
2021-07-21,35.656
2021-07-22,36.001
2021-07-23,35.454
2021-07-26,36.672
2021-07-27,37.448
2021-07-28,39.477
2021-07-29,40.962
2021-07-30,40.634
2021-08-02,41.936
2021-08-03,40.916
2021-08-04,41.989
2021-08-05,42.613
2021-08-06,42.941
2021-08-09,42.638
2021-08-10,44.458
